rating_id,user_id,game_id,review,rating_date
93,312,134,Overhyped and not worth the money.,2017-10-12
94,347,76,Innovative and engaging. Best game I’ve played in years.,2022-12-19
95,1204,97,Graphics and mechanics are top-notch. A must-play!,2022-05-05
96,1588,17,Disappointing story and poorly designed levels.,2018-05-16
97,879,179,Amazing gameplay and story! Highly recommend.,2023-01-16
98,1717,25,Innovative and engaging. Best game I’ve played in years.,2021-10-09
99,943,158,Graphics and mechanics are top-notch. A must-play!,2024-07-05
100,1916,78,Loved the character development and the plot twists.,2000-03-26
101,1846,80,Disappointing story and poorly designed levels.,2023-03-05
102,474,171,Loved the character development and the plot twists.,2023-07-02
103,479,168,Graphics and mechanics are top-notch. A must-play!,2019-04-16
104,1238,79,Graphics and mechanics are top-notch. A must-play!,2024-01-20
105,1101,157,Innovative and engaging. Best game I’ve played in years.,2024-02-20
106,1288,16,Super fun and addictive. Can’t wait for the sequel!,2014-07-11
107,610,124,Amazing gameplay and story! Highly recommend.,2013-07-20
108,675,132,Repetitive and gets boring quickly.,2020-10-04
109,188,144,Overhyped and not worth the money.,2018-05-28
110,1505,172,Disappointing story and poorly designed levels.,2013-10-14
111,524,115,Graphics and mechanics are top-notch. A must-play!,1995-01-02
112,1363,199,Graphics and mechanics are top-notch. A must-play!,2014-06-29
113,632,74,Glitches and bugs ruin the experience.,2017-01-24
114,1662,183,Innovative and engaging. Best game I’ve played in years.,2020-04-03
115,675,106,Overhyped and not worth the money.,2003-07-04
116,211,63,Amazing gameplay and story! Highly recommend.,2020-08-15
117,904,125,Terrible controls and clunky gameplay.,2022-05-08
118,1793,120,Terrible controls and clunky gameplay.,2024-10-29
119,1886,136,Disappointing story and poorly designed levels.,2013-11-14
120,713,19,Overhyped and not worth the money.,2022-11-28
121,921,51,Repetitive and gets boring quickly.,1997-09-08
122,1052,60,Terrible controls and clunky gameplay.,2002-03-14
123,1071,24,Super fun and addictive. Can’t wait for the sequel!,1999-05-17
124,1744,34,Repetitive and gets boring quickly.,1995-06-10
125,517,181,Disappointing story and poorly designed levels.,2023-02-16
126,440,131,Loved the character development and the plot twists.,2015-07-26
127,220,136,Loved the character development and the plot twists.,2012-04-05
128,313,6,Amazing gameplay and story! Highly recommend.,2017-02-05
129,1713,65,Loved the character development and the plot twists.,2023-10-13
130,1281,171,Terrible controls and clunky gameplay.,2013-11-11
131,1296,36,Graphics and mechanics are top-notch. A must-play!,2022-07-15
132,622,12,Disappointing story and poorly designed levels.,2024-08-16
133,1118,100,Innovative and engaging. Best game I’ve played in years.,2024-05-12
134,806,81,Innovative and engaging. Best game I’ve played in years.,2009-09-17
135,1558,121,Repetitive and gets boring quickly.,2016-01-10
136,109,173,Terrible controls and clunky gameplay.,2024-10-28
137,577,118,Disappointing story and poorly designed levels.,2019-10-05
138,1772,197,Glitches and bugs ruin the experience.,2024-10-27
139,943,124,Disappointing story and poorly designed levels.,2020-05-24
140,1917,164,Graphics and mechanics are top-notch. A must-play!,2019-10-11
141,878,19,Graphics and mechanics are top-notch. A must-play!,2024-08-26
142,1929,58,Repetitive and gets boring quickly.,2018-01-16
143,1446,104,Loved the character development and the plot twists.,2024-02-10
144,1062,12,Disappointing story and poorly designed levels.,2024-09-11
145,1043,88,Amazing gameplay and story! Highly recommend.,2024-07-23
146,472,73,Amazing gameplay and story! Highly recommend.,2020-02-05
147,914,37,Loved the character development and the plot twists.,1984-06-04
148,1344,14,Graphics and mechanics are top-notch. A must-play!,2001-03-04
149,1020,87,Graphics and mechanics are top-notch. A must-play!,1998-12-03
150,1232,120,Disappointing story and poorly designed levels.,2023-07-22
151,1568,33,Glitches and bugs ruin the experience.,2011-04-21
152,1485,108,Super fun and addictive. Can’t wait for the sequel!,2019-08-18
153,290,139,Terrible controls and clunky gameplay.,2015-06-06
154,627,29,Repetitive and gets boring quickly.,2021-04-07
155,1638,168,Repetitive and gets boring quickly.,2023-04-25
156,1127,3,Overhyped and not worth the money.,2019-01-08
157,760,175,Loved the character development and the plot twists.,2016-10-15
158,1068,6,Repetitive and gets boring quickly.,2022-05-19
159,548,40,Graphics and mechanics are top-notch. A must-play!,2022-06-02
160,1937,58,Repetitive and gets boring quickly.,2016-01-03
161,1564,46,Amazing gameplay and story! Highly recommend.,2016-09-20
162,1332,33,Innovative and engaging. Best game I’ve played in years.,2015-06-16
163,1295,52,Overhyped and not worth the money.,2024-01-30
164,1461,20,Innovative and engaging. Best game I’ve played in years.,1984-12-29
165,652,155,Loved the character development and the plot twists.,2023-07-25
166,563,117,Terrible controls and clunky gameplay.,2013-10-30
167,188,31,Super fun and addictive. Can’t wait for the sequel!,2022-12-24
168,1942,13,Repetitive and gets boring quickly.,2021-03-28
169,1934,169,Overhyped and not worth the money.,2024-02-22
170,1819,19,Amazing gameplay and story! Highly recommend.,2023-07-17
171,1140,116,Graphics and mechanics are top-notch. A must-play!,2019-10-11
172,44,27,Overhyped and not worth the money.,2020-06-06
173,5,59,Overhyped and not worth the money.,2016-12-03
174,1046,57,Loved the character development and the plot twists.,2022-06-18
175,842,30,Repetitive and gets boring quickly.,2015-02-26
176,1842,184,Graphics and mechanics are top-notch. A must-play!,2021-05-03
177,848,44,Glitches and bugs ruin the experience.,2009-12-24
178,1177,134,Overhyped and not worth the money.,2001-01-12
179,1177,135,Glitches and bugs ruin the experience.,2017-09-10
180,438,19,Overhyped and not worth the money.,2022-04-03
181,1221,129,Terrible controls and clunky gameplay.,2023-05-03
182,1567,177,Graphics and mechanics are top-notch. A must-play!,2002-09-18
183,1844,155,Loved the character development and the plot twists.,2011-01-02
184,335,118,Amazing gameplay and story! Highly recommend.,2011-09-13
185,15,125,Repetitive and gets boring quickly.,2023-02-10
186,1897,164,Glitches and bugs ruin the experience.,2020-10-02
187,380,82,Graphics and mechanics are top-notch. A must-play!,2018-07-04
188,924,2,Loved the character development and the plot twists.,2008-07-13
189,54,169,Overhyped and not worth the money.,2006-07-12
190,1202,40,Terrible controls and clunky gameplay.,2015-07-15
191,1383,114,Graphics and mechanics are top-notch. A must-play!,2005-02-05
192,665,82,Repetitive and gets boring quickly.,2023-09-14
193,148,136,Loved the character development and the plot twists.,2009-02-01
194,429,176,Graphics and mechanics are top-notch. A must-play!,2020-01-02
195,802,13,Loved the character development and the plot twists.,1999-08-30
196,688,25,Repetitive and gets boring quickly.,2020-12-12
197,1755,22,Super fun and addictive. Can’t wait for the sequel!,2023-01-27
198,213,139,Repetitive and gets boring quickly.,1985-03-08
199,1219,124,Loved the character development and the plot twists.,2021-03-02
200,902,6,Repetitive and gets boring quickly.,2024-06-24
201,1494,85,Overhyped and not worth the money.,2015-08-19
202,959,104,Repetitive and gets boring quickly.,2024-06-09
203,997,72,Disappointing story and poorly designed levels.,2022-11-04
204,408,76,Disappointing story and poorly designed levels.,2023-11-08
205,587,41,Disappointing story and poorly designed levels.,2017-10-06
206,11,123,Glitches and bugs ruin the experience.,2023-06-28
207,94,189,Overhyped and not worth the money.,2023-08-30
208,636,146,Innovative and engaging. Best game I’ve played in years.,2023-08-27
209,962,140,Loved the character development and the plot twists.,2021-09-03
210,1406,121,Glitches and bugs ruin the experience.,2024-01-21
211,1198,199,Repetitive and gets boring quickly.,2024-09-21
212,1480,25,Glitches and bugs ruin the experience.,2003-07-18
213,1253,23,Amazing gameplay and story! Highly recommend.,2009-04-06
214,1943,198,Disappointing story and poorly designed levels.,2005-08-08
215,1200,110,Repetitive and gets boring quickly.,2020-07-23
216,1539,172,Overhyped and not worth the money.,2011-04-29
217,261,14,Repetitive and gets boring quickly.,2014-08-03
218,237,127,Overhyped and not worth the money.,2006-10-14
219,138,52,Overhyped and not worth the money.,2013-09-29
220,1126,139,Super fun and addictive. Can’t wait for the sequel!,2015-10-11
221,271,125,Disappointing story and poorly designed levels.,2019-05-21
222,106,102,Amazing gameplay and story! Highly recommend.,2006-09-16
223,442,96,Overhyped and not worth the money.,2024-10-25
224,1760,85,Glitches and bugs ruin the experience.,2016-05-26
225,1297,53,Loved the character development and the plot twists.,2024-04-02
226,1867,96,Terrible controls and clunky gameplay.,2024-10-14
227,1506,137,Overhyped and not worth the money.,2024-05-15
228,1698,141,Amazing gameplay and story! Highly recommend.,2008-03-29
229,1577,61,Repetitive and gets boring quickly.,2021-10-30
230,653,75,Overhyped and not worth the money.,2020-09-20
231,235,111,Amazing gameplay and story! Highly recommend.,2015-03-09
232,900,20,Disappointing story and poorly designed levels.,1999-04-18
233,123,160,Innovative and engaging. Best game I’ve played in years.,2020-06-17
234,169,152,Disappointing story and poorly designed levels.,2023-01-06
235,1407,10,Glitches and bugs ruin the experience.,2013-06-27
236,298,145,Super fun and addictive. Can’t wait for the sequel!,2023-01-10
237,319,125,Amazing gameplay and story! Highly recommend.,2023-07-15
238,1577,191,Super fun and addictive. Can’t wait for the sequel!,2024-03-20
239,356,78,Innovative and engaging. Best game I’ve played in years.,2003-07-29
240,281,14,Graphics and mechanics are top-notch. A must-play!,2017-04-15
241,1446,127,Repetitive and gets boring quickly.,2005-06-29
242,762,93,Repetitive and gets boring quickly.,2023-06-10
243,214,101,Glitches and bugs ruin the experience.,2024-09-24
244,193,8,Glitches and bugs ruin the experience.,1993-07-10
245,1214,65,Repetitive and gets boring quickly.,2022-11-22
246,1312,99,Graphics and mechanics are top-notch. A must-play!,2013-03-20
247,240,194,Overhyped and not worth the money.,2002-07-26
248,566,87,Graphics and mechanics are top-notch. A must-play!,2002-09-05
249,618,121,Amazing gameplay and story! Highly recommend.,2023-09-11
250,1985,88,Super fun and addictive. Can’t wait for the sequel!,2022-05-02
251,1884,180,Repetitive and gets boring quickly.,2023-04-03
252,277,34,Disappointing story and poorly designed levels.,2021-08-23
253,793,191,Amazing gameplay and story! Highly recommend.,2010-06-11
254,1605,37,Innovative and engaging. Best game I’ve played in years.,2024-05-02
255,125,167,Glitches and bugs ruin the experience.,2023-10-14
256,1465,23,Super fun and addictive. Can’t wait for the sequel!,2013-06-30
257,1425,117,Glitches and bugs ruin the experience.,2017-01-21
258,1258,123,Repetitive and gets boring quickly.,2019-08-17
259,1897,24,Amazing gameplay and story! Highly recommend.,2013-10-31
260,1258,3,Glitches and bugs ruin the experience.,2021-10-11
261,965,23,Repetitive and gets boring quickly.,2018-04-13
262,67,83,Amazing gameplay and story! Highly recommend.,2005-08-16
263,1270,44,Overhyped and not worth the money.,2010-11-05
264,1945,20,Terrible controls and clunky gameplay.,2014-11-01
265,1277,195,Repetitive and gets boring quickly.,2023-06-02
266,1310,74,Loved the character development and the plot twists.,2012-01-14
267,490,112,Repetitive and gets boring quickly.,2024-04-07
268,1748,39,Terrible controls and clunky gameplay.,2019-05-29
269,498,186,Loved the character development and the plot twists.,2017-10-16
270,1871,183,Disappointing story and poorly designed levels.,2015-11-03
271,892,134,Terrible controls and clunky gameplay.,2022-04-23
272,1770,88,Glitches and bugs ruin the experience.,2024-09-27
273,579,61,Amazing gameplay and story! Highly recommend.,2022-09-28
274,471,25,Disappointing story and poorly designed levels.,2000-08-13
275,714,70,Disappointing story and poorly designed levels.,2021-11-12
276,1308,42,Graphics and mechanics are top-notch. A must-play!,2013-05-31
277,1006,55,Overhyped and not worth the money.,2023-02-18
278,1336,89,Disappointing story and poorly designed levels.,2024-10-06
279,277,11,Repetitive and gets boring quickly.,2019-03-25
280,908,56,Amazing gameplay and story! Highly recommend.,2021-03-18
281,447,181,Amazing gameplay and story! Highly recommend.,2020-05-23
282,966,14,Disappointing story and poorly designed levels.,2016-08-03
283,1750,172,Graphics and mechanics are top-notch. A must-play!,1998-09-22
284,1075,26,Overhyped and not worth the money.,2022-10-27
285,1780,97,Super fun and addictive. Can’t wait for the sequel!,2019-12-20
286,1446,31,Terrible controls and clunky gameplay.,2012-06-06
287,1708,7,Amazing gameplay and story! Highly recommend.,2008-03-19
288,301,92,Loved the character development and the plot twists.,2017-11-25
289,679,79,Innovative and engaging. Best game I’ve played in years.,2004-02-09
290,1772,149,Overhyped and not worth the money.,2024-03-25
291,1810,11,Super fun and addictive. Can’t wait for the sequel!,2021-07-31
292,967,27,Glitches and bugs ruin the experience.,2006-08-22
293,1829,8,Loved the character development and the plot twists.,2015-09-28
294,660,196,Terrible controls and clunky gameplay.,2023-06-21
295,84,118,Loved the character development and the plot twists.,2014-03-04
296,1250,179,Repetitive and gets boring quickly.,2024-05-24
297,123,151,Innovative and engaging. Best game I’ve played in years.,2024-08-31
298,1133,100,Innovative and engaging. Best game I’ve played in years.,2008-04-15
299,227,198,Loved the character development and the plot twists.,2008-12-19
300,1042,181,Terrible controls and clunky gameplay.,2007-08-20
301,764,119,Graphics and mechanics are top-notch. A must-play!,2013-04-07
302,559,148,Graphics and mechanics are top-notch. A must-play!,2019-11-26
303,1361,99,Glitches and bugs ruin the experience.,2019-04-28
304,1622,88,Repetitive and gets boring quickly.,2024-06-20
305,1163,135,Disappointing story and poorly designed levels.,2020-03-25
306,1075,134,Overhyped and not worth the money.,2016-07-07
307,421,122,Innovative and engaging. Best game I’ve played in years.,2023-12-27
308,56,194,Overhyped and not worth the money.,2024-05-23
309,1715,121,Graphics and mechanics are top-notch. A must-play!,2024-05-24
310,1341,119,Super fun and addictive. Can’t wait for the sequel!,2021-02-02
311,1671,125,Glitches and bugs ruin the experience.,2022-02-22
312,1049,141,Terrible controls and clunky gameplay.,2004-11-10
313,1483,138,Glitches and bugs ruin the experience.,2022-05-20
314,1453,28,Repetitive and gets boring quickly.,2022-09-21
315,1048,20,Innovative and engaging. Best game I’ve played in years.,2003-10-05
316,1506,54,Super fun and addictive. Can’t wait for the sequel!,2023-07-01
317,480,67,Repetitive and gets boring quickly.,1995-09-05
318,1838,2,Overhyped and not worth the money.,1998-06-08
319,1986,165,Innovative and engaging. Best game I’ve played in years.,2003-01-11
320,1500,94,Graphics and mechanics are top-notch. A must-play!,2023-03-04
321,1432,36,Overhyped and not worth the money.,2023-08-27
322,912,76,Overhyped and not worth the money.,2024-08-07
323,1562,151,Innovative and engaging. Best game I’ve played in years.,2021-06-02
324,478,178,Terrible controls and clunky gameplay.,2021-04-11
325,1484,59,Terrible controls and clunky gameplay.,2022-10-02
326,1960,14,Overhyped and not worth the money.,2017-08-20
327,1039,117,Disappointing story and poorly designed levels.,2022-12-14
328,1151,66,Overhyped and not worth the money.,2019-08-17
329,316,28,Glitches and bugs ruin the experience.,2022-12-28
330,1247,74,Disappointing story and poorly designed levels.,2014-06-27
331,1878,182,Glitches and bugs ruin the experience.,2023-05-07
332,1592,131,Super fun and addictive. Can’t wait for the sequel!,2014-02-19
333,1074,89,Amazing gameplay and story! Highly recommend.,2013-04-26
334,1699,150,Graphics and mechanics are top-notch. A must-play!,2012-03-09
335,401,76,Disappointing story and poorly designed levels.,2024-04-17
336,1382,21,Super fun and addictive. Can’t wait for the sequel!,2019-08-17
337,264,65,Amazing gameplay and story! Highly recommend.,2014-07-27
338,1107,82,Innovative and engaging. Best game I’ve played in years.,2012-08-04
339,1740,182,Loved the character development and the plot twists.,2024-07-12
340,1773,75,Amazing gameplay and story! Highly recommend.,2009-09-05
341,808,111,Super fun and addictive. Can’t wait for the sequel!,2014-05-16
342,1363,67,Glitches and bugs ruin the experience.,2008-09-29
343,1520,46,Glitches and bugs ruin the experience.,2016-10-26
344,1227,176,Repetitive and gets boring quickly.,2019-07-07
345,624,145,Loved the character development and the plot twists.,2023-04-07
346,524,124,Overhyped and not worth the money.,2022-08-02
347,1744,125,Overhyped and not worth the money.,2019-04-16
348,671,192,Repetitive and gets boring quickly.,2022-12-03
349,1393,76,Disappointing story and poorly designed levels.,2021-08-04
350,1585,109,Loved the character development and the plot twists.,2024-09-09
351,558,50,Terrible controls and clunky gameplay.,2017-10-12
352,121,25,Repetitive and gets boring quickly.,2011-03-03
353,1925,69,Innovative and engaging. Best game I’ve played in years.,2015-06-19
354,1267,142,Terrible controls and clunky gameplay.,2020-11-14
355,953,86,Repetitive and gets boring quickly.,1991-10-08
356,270,20,Disappointing story and poorly designed levels.,2024-07-30
357,1362,196,Loved the character development and the plot twists.,2017-02-09
358,1234,167,Disappointing story and poorly designed levels.,2022-02-02
359,41,86,Loved the character development and the plot twists.,2022-03-31
360,1507,85,Innovative and engaging. Best game I’ve played in years.,2019-03-06
361,1745,157,Graphics and mechanics are top-notch. A must-play!,2023-06-16
362,1504,123,Overhyped and not worth the money.,2021-03-30
363,1786,169,Innovative and engaging. Best game I’ve played in years.,2023-04-30
364,335,71,Terrible controls and clunky gameplay.,2009-11-26
365,1300,87,Disappointing story and poorly designed levels.,2024-01-26
366,1864,17,Terrible controls and clunky gameplay.,2014-03-19
367,1268,52,Super fun and addictive. Can’t wait for the sequel!,2004-12-21
368,37,164,Glitches and bugs ruin the experience.,2024-04-22
369,1899,109,Repetitive and gets boring quickly.,2009-10-26
370,1896,195,Graphics and mechanics are top-notch. A must-play!,2019-11-23
371,1411,21,Disappointing story and poorly designed levels.,2024-08-04
372,172,173,Terrible controls and clunky gameplay.,2022-09-14
373,266,76,Repetitive and gets boring quickly.,2023-01-01
374,1850,105,Innovative and engaging. Best game I’ve played in years.,2018-10-28
375,799,187,Disappointing story and poorly designed levels.,2015-07-07
376,456,135,Innovative and engaging. Best game I’ve played in years.,2023-01-14
377,1675,178,Repetitive and gets boring quickly.,2018-01-24
378,813,111,Glitches and bugs ruin the experience.,2023-08-07
379,1675,193,Disappointing story and poorly designed levels.,2017-09-20
380,222,44,Repetitive and gets boring quickly.,2022-11-10
381,1848,82,Graphics and mechanics are top-notch. A must-play!,2024-04-20
382,363,132,Graphics and mechanics are top-notch. A must-play!,2021-01-14
383,733,149,Glitches and bugs ruin the experience.,2021-04-16
384,1837,13,Terrible controls and clunky gameplay.,2011-05-05
385,716,79,Amazing gameplay and story! Highly recommend.,2020-10-14
386,771,125,Repetitive and gets boring quickly.,2020-03-10
387,1493,119,Loved the character development and the plot twists.,2017-01-09
388,317,45,Glitches and bugs ruin the experience.,1987-05-12
389,340,40,Disappointing story and poorly designed levels.,2021-05-09
390,890,174,Super fun and addictive. Can’t wait for the sequel!,1998-04-16
391,1291,199,Overhyped and not worth the money.,2010-11-08
392,1151,152,Loved the character development and the plot twists.,2003-05-20
393,1186,47,Repetitive and gets boring quickly.,2023-03-03
394,655,2,Super fun and addictive. Can’t wait for the sequel!,2023-11-30
395,413,34,Graphics and mechanics are top-notch. A must-play!,1996-04-01
396,445,19,Glitches and bugs ruin the experience.,2022-12-10
397,1621,72,Terrible controls and clunky gameplay.,2022-11-19
398,981,9,Loved the character development and the plot twists.,2022-08-15
399,1490,114,Overhyped and not worth the money.,2023-08-20
400,1412,22,Repetitive and gets boring quickly.,2023-10-09
401,1076,9,Glitches and bugs ruin the experience.,2010-09-03
402,612,141,Terrible controls and clunky gameplay.,2024-01-05
403,468,91,Terrible controls and clunky gameplay.,2024-02-20
404,350,72,Repetitive and gets boring quickly.,2024-07-12
405,271,89,Repetitive and gets boring quickly.,2007-05-22
406,1269,10,Disappointing story and poorly designed levels.,2017-04-02
407,503,155,Overhyped and not worth the money.,1993-12-31
408,1326,81,Glitches and bugs ruin the experience.,2019-11-08
409,1646,36,Loved the character development and the plot twists.,2019-03-17
410,1724,109,Loved the character development and the plot twists.,2009-04-20
411,42,7,Innovative and engaging. Best game I’ve played in years.,2017-02-01
412,1784,58,Disappointing story and poorly designed levels.,2018-12-07
413,1656,1,Glitches and bugs ruin the experience.,2023-05-12
414,1059,39,Glitches and bugs ruin the experience.,2021-03-29
415,1779,26,Super fun and addictive. Can’t wait for the sequel!,2021-11-30
416,1882,112,Super fun and addictive. Can’t wait for the sequel!,2024-04-06
417,516,155,Amazing gameplay and story! Highly recommend.,2018-04-14
418,729,196,Loved the character development and the plot twists.,2021-12-20
419,108,118,Disappointing story and poorly designed levels.,2023-07-09
420,418,27,Overhyped and not worth the money.,2018-04-06
421,1707,98,Overhyped and not worth the money.,2022-08-22
422,1298,20,Loved the character development and the plot twists.,2023-11-02
423,176,24,Overhyped and not worth the money.,2020-06-07
424,1198,44,Super fun and addictive. Can’t wait for the sequel!,2024-06-30
425,1146,102,Super fun and addictive. Can’t wait for the sequel!,2016-09-12
426,285,60,Overhyped and not worth the money.,2017-10-13
427,1429,99,Glitches and bugs ruin the experience.,2017-04-27
428,1103,123,Glitches and bugs ruin the experience.,2006-02-15
429,1906,109,Overhyped and not worth the money.,2024-08-30
430,99,145,Loved the character development and the plot twists.,2022-08-22
431,1185,148,Disappointing story and poorly designed levels.,1990-04-03
432,1207,188,Terrible controls and clunky gameplay.,1991-10-15
433,1681,104,Terrible controls and clunky gameplay.,2020-02-27
434,1615,52,Repetitive and gets boring quickly.,2015-12-01
435,1631,114,Glitches and bugs ruin the experience.,2017-07-01
436,1950,169,Disappointing story and poorly designed levels.,2013-10-07
437,246,85,Disappointing story and poorly designed levels.,2022-04-29
438,734,90,Super fun and addictive. Can’t wait for the sequel!,2024-06-27
439,1980,139,Amazing gameplay and story! Highly recommend.,1987-09-01
440,768,101,Overhyped and not worth the money.,2012-04-12
441,1451,36,Super fun and addictive. Can’t wait for the sequel!,2020-11-16
442,1018,58,Disappointing story and poorly designed levels.,2008-02-06
443,950,80,Glitches and bugs ruin the experience.,2020-05-17
444,1880,39,Repetitive and gets boring quickly.,2024-08-10
445,1493,67,Super fun and addictive. Can’t wait for the sequel!,2015-08-08
446,1654,171,Loved the character development and the plot twists.,2015-03-17
447,1412,3,Amazing gameplay and story! Highly recommend.,2022-05-03
448,1911,116,Amazing gameplay and story! Highly recommend.,2019-12-22
449,1222,166,Repetitive and gets boring quickly.,2023-03-25
450,1699,50,Innovative and engaging. Best game I’ve played in years.,2023-11-28
451,1564,92,Loved the character development and the plot twists.,2004-03-29
452,427,200,Glitches and bugs ruin the experience.,2022-06-02
453,1858,193,Amazing gameplay and story! Highly recommend.,1981-03-05
454,831,150,Glitches and bugs ruin the experience.,2009-05-05
455,765,77,Graphics and mechanics are top-notch. A must-play!,2023-03-06
456,1362,37,Repetitive and gets boring quickly.,1995-03-10
457,1350,145,Terrible controls and clunky gameplay.,2023-11-21
